A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
C-10-12,You will get your truck back if you tell us who you are taking this to.,indoR inRidolak watak elayn it’ood laahee itgoolina haaTha min gaayis beeh,أندور أنردولك وتك إلين أتعود لاهِ أتقٌولنَ هاذ من كٌايس بيه.
C-11-01,The name of the village,isim il qaRyeh,أسم القريه
C-11-02,The location of the village,iblad il qaRyeh,أبلد القريه
C-11-03,Is there a road access for cars?,vem veeh iTReeg yimsho im’aaha il wataat?,فم فيه أطريقٌ يمشو أمعاهَ الوتاتْ؟
C-11-04,Is there a road access for four- wheel drive?,vem veeh iTReeg yimsho im’aaha toteReehaant?,فم فيه أطريقٌ يمشو أمعاهَ توتريهانت؟
C-11-05,Is there a road access for trucks?,vem veeh iTReeg yimsho im’aaha il wataat likbaaRaat?,فم فيه أطريقٌ يمشو أمعاهَ الوتاتْ لكبارات؟
C-11-06,Is the road accessible in the winter?,heeyeh iTReeg itgid tinKhaaTh v zaman ishteh?,هي أطريق أتكٌد تنخاظ فى زمن الشته؟
C-11-07,What is the number of the current population?,shinhowa ‘adad is sokaan ThaRk?,شنهو عدد السكان ظرك؟
C-11-08,How many children are there?,kam min veeh min itiRkeh hon?,كم من فيه من أتركه هون؟
C-11-09,How many men are there?,kam min veeh min Razhaaleh hon?,كم من فيه من أرجاله هون؟
C-11-10,How many women are there?,kam min veeh min li’layaat hon?,كم من فيه من لعليات هون؟
C-11-11,How many locals are there?,kam min veeh min ahil id dashRah hon?,كم من فيه من أهل أدشره هون؟
C-11-12,How many refugees are there?,kam min veeh min ilaazhee-een hon?,كم من فيه من أللاجئين هون؟
C-11-13,How many returnees are there?,kam min veeh min il ‘aa-eedeen hon?,كم من فيه من العائدين هون؟
C-11-14,Who is the community leader?,minhowa shayKh il Hay?,منهو شيخ الحي؟
C-11-15,Who is responsible for food distribution?,min mas-ool ‘an tigsaam iT Ta’aam?,من مسؤول عن تكٌسام الطعام؟
C-11-16,Where is the local warehouse?,waynheeyeh magazaynat id dashRah?,وينهي مكٌزينة أدشره؟
C-11-17,Is there a storage facility?,hon veeh magazaynaat?,هون فيه مكٌزينات؟
C-11-18,Is this village used for secondary distribution?,haaThee heeyeh il qaRyeh ilee mo’adal veeha itigsaam ith thaanee?,هاذي هي القريه أللي مُعدل فيها أتكٌسام الثاني؟
C-11-19,Which villages receive assistance from this village?,ay dashRaat itzheehom mosaa’adaat min haaThee id dashRah?,أي دشرات أتجيهم مساعدات من هاذي أدشره؟
C-11-20,How many damaged houses in this village?,kam min daaR KhaReebeh v haaThee il qaRyeh?,كم من دار خريبه فى هاذي القريه؟
C-11-21,How many unfinished houses in this village?,kam min daaR maahee movaRsheh v haaThee il qaRyeh?,كم من دار ماهي مفرشه فى هاذي القريه؟
C-11-22,Was there any new war damage to buildings since before the conflict?,mindRah kaan tiksaaR izhdeed min il HaRib v idyaaR min saabig in nizaa’?,مندرا كان تكسار أجديد من الحرب فى أديار من سابقٌ النزاع؟
C-11-23,Is there a school in the village?,maa veeh madRaseh v il qaRyeh?,مافيه مدرسه فى القريه؟
C-11-24,Is there a mosque in the village?,maa veeh imseed v il qaRyeh?,مافيه أمسيد فى القريه؟
C-11-25,Is there a bakery?,vam maa veeh fooR?,فم مافيه أفّورْ؟
C-11-26,Is there a health facility?,vam maa veeh maRkaz liSiHa?,فم مافيه مركز للصحه؟
C-11-27,Is there any source of food available in the village?,maa veeh maSdaR liT’aam v il qaRyeh?,مافيه مصدر للطعام فى القريه؟
C-12-01,Let me put you in contact with someone who can help you.,Khaleenee indeeRak i’la iteeSaal im’a Had igid ee’aawnak,خليني أنديرك أعلَ أتصال مع حد إيكُد إعاونك.
C-12-02,I will take you to him.,indoR nimshee beek shoRo,أندور نمشي بيك شورو.
C-12-03,The person in charge is ___.,ish shaKhiS il mas-ool howa ___,الشخص المسؤول هو .___
C-12-04,"In order to be compensated for damages, you must talk to ___.",eeyaak yo’awaDhlak ‘an iDh DhaRaR yaaltak titkalam im’a ___,أياك يُعوض لك عن الضرر يالتك تتكلم مع .___
C-12-05,What is your name?,shinhowa ismak?,شنهو أسمك؟
C-12-06,Where do you live? / What is your address?,inta imnayn saakin?,أنت أمنين ساكن؟
C-12-07,What happened to your car?,watak imaalha?,وتك أمالهَ؟
C-12-08,"What kind of car is it? (year, make, model)","watak shinhee? (saneh, naw’, maaRk)",وتك شنهي؟ (سنه، نوع، مارک)
C-12-09,Show me your car registration.,inshov venyatak,أنشوف فنيتّك.
C-12-10,Where is your car right now?,watak waynhee ThaRk?,وتك وينهي ظرك؟
C-12-11,Is your car drivable?,watak itgid timshee?,وتك أتكٌد تمشي؟
C-12-12,Can you bring your car here?,itgid itzheeb watak hon?,أتكٌد أتجيب وتك هون؟
C-12-13,Where did the accident happen?,imnaynhowa bel il Haadith?,أمنينهو بل الحادث؟
C-12-14,When did the accident happen?,aynta iKhlig il Haadith?,أينت أخلكٌ الحادث؟
C-12-15,What Civilian Forces’ vehicle damaged your car?,ay wateh min wataat il qooweh il madaneeyeh kaRit watak?,أي وته من وتات القوه المدنيه كرّت وتك؟
C-12-16,What soldiers were involved in the accident?,ay iSnaadRah kaano v il Haadith?,أي اصنادره كانو فى الحادث؟
C-12-17,Thank you for your time.,shukRan i’la waqtak,شكرا أعلَ وقتك.
C-12-18,I appreciate your patience.,gaaR veeya ‘anak SaabiR,كٌار فيي عنك صابر.
C-12-19,"In order to be compensated for damages, you must fill out this document.",eeyaak yo’awaDhlak ‘an iDh DhaRaR yaaltak timleh haaThee ish shakleeyeh,أياك يُعوض لك عن الضرر يالتك تمل هاذي الشكليه.
C-12-20,"In order to be compensated for damages, you must see ___.",eeyaak yo’awaDhlak ‘an iDh DhaRaR yaaltak titkalam im’a ___,أياك يُعوض لك عن الضرر يالتك تتكلم مع .___
C-13-01,Where can we purchase meat?,min imnayn ingido nishRo il Ham?,من أمنين أنكٌدو نشرو اللحم؟
C-13-02,Where can we purchase vegetables and fruit?,min imnayn ingido nishRo il KhiDhRah o il vawaakeh?,من أمنين أنكٌدو نشرو الخضره والفواكه؟
C-13-03,Where can we purchase bread and grains?,min imnayn ingido nishRo imbooRo o il gamH?,من أمنين أنكٌدو نشرو أمبورُ والقٌمح؟
C-13-04,Where can we purchase dairy products?,min imnayn ingido nishRo montazhaat il albaan?,من أمنين أنكٌدو نشرو منتجات الالبان؟
C-13-05,Where can we purchase water?,min imnayn ingido nishRo ilmeh?,من أمنين أنكٌدو نشرو المَ؟
C-13-06,We need to examine the herd.,yaalitna niviHSo gaT’it il Haywaan,يالتنَ نفحصو كٌطعة الحيوان.
C-13-07,We need to examine the animals on the farm.,yaaltina niviHSo il Haywaan v il mazRa’a,يالتنَ نفحصو الحيوان فى المزرعه.
C-13-08,We need to inspect the slaughterhouse for sanitation.,yaalitna nit-akado min naThaavt il baTwaaR,يالتنَ نتأكدو من نظافة البطوار.
C-13-09,We need to inspect the bakery for sanitation.,yaalitna nit-akado min naThaavt il maKhbazeh,يالتنَ نتأكدو من نظافة المخبزه.
C-13-10,We need to inspect the dairy plant.,yaalitna invatsho shaRikit il albaan,يالتنَ أنفتشو شركة الألبان.
C-13-11,We need to inspect the poultry plant.,yaalitna invatsho il madzhneh,يالتنَ أنفتشو المدجنه.
C-13-12,When was the last time these animals were inoculated?,aynta kaanit il maRah it taaleeyeh yindag veeha Tha il Haywaan?,أينت كانت المره التاليه يندكُ فيه ذ الحيوان؟
C-13-13,Do they need to be vaccinated?,homa miHtaazheen id dageh?,هم محتاجين أدكٌه؟
C-13-14,We can provide vaccinations.,naHna ingido inwafRo id dageh,نحن أنكٌدو أنوفرو الدكٌه
C-13-15,"This food is spoiled, please do not eat it.","iT’aam KhaasiR, laa toklo min vaDhlak",الطعام خاسر، لا توكلو من فضلك.
C-13-16,Are the crops infected with insects?,howa Tha ilee niHSad imlaan min il HashaRaat?,هو ذ أللي نحصد أملان من الحشرات؟
C-13-17,Are the animals infected with parasites?,howa il Haywaan zhaayo il giRdaan?,هو الحيوان جايو الكٌردان؟
M-01-01,Do you understand this language?,inta tevham Thee il loogha?,أنت تفهم ذي اللوغه؟
M-01-02,We are here to help you.,naHna hon eeyaak in’aawnook,نحن هون أياك أنعاونوكْ.
M-01-03,I do not understand your language.,maanee vaahim looghtak,ماني فاهم لوغتكْ.
M-01-04,There is no one available who speaks this language.,hon maa veeh Had yitkalam haaThee il loogha,هون مافيه حد يتكلم هاذي اللوغه.
M-01-05,Try to answer my questions with “yes” or “no.”,Haawil inak itzhaawib i’la as-eeltee b “aheyh” wala “abdey”,حاول أنكْ أتجاوب أعل أسئلتي ب “أهيه” وللَ “أبدي.”
M-01-06,Move your head like this for “yes.”,HaRik RaaSak ibThee iS Seeva ayn it’ood laahee itgool “aheyh”,حرك راصكْ بذي الصيفه أين أتعود لاهِ أتقٌول “أهيه.”
M-01-07,Move your head like this for “no.”,HaRik RaaSak ibThee iS Seeva ayn it’ood laahee itgool “abdey”,حرك راصكْ بذي الصيفه أين أتعود لاهِ أتقٌول “أبدي.”
M-01-08,Do you know where you are?,inta ta’Rav inta imnayn?,أنت تعرف أنت أمنين؟
M-01-09,Are you thirsty?,inta ‘aTshaan?,أنت عطشان؟
M-01-10,Are you hungry?,inta zhee’aan?,أنت جيعان؟
M-01-11,Do you need to urinate?,laahee itbool?,لاهِ أتبولْ؟
M-01-12,Do you need to defecate?,laahee tig’id i’la il kabeeneh?,لاهِ تقٌعدْ أعلَ الكبينه؟
M-01-13,Do you want a cigarette?,,
M-01-14,I understand.,vaahim,فاهمْ.
M-01-15,I do not understand.,maanee vaahim,ماني فاهم.
M-01-16,We will try to contact someone from your group.,indoR inHaawlo nitaSlo i’la Had min izhmaa’tak,أندور أنحاولو نتصلو أعلَ حد من أجماعتك.
M-01-17,Please.,min vaDhlak,من فضلك.
M-01-18,Thank you.,shukRan,شٌكرا.
M-01-19,You are welcome.,il ‘avo,العفو.
M-01-20,Thank you for talking with me.,shukRan i’la iklaamak im’aaya,شكرا أعلَ أكلامك أمعايَ.
M-01-21,I will talk with you again.,indoR nitkalam im’aak maRa iKhRah,أندور نتكلمْ أمعاكْ مره أخره.
M-01-22,Good-bye.,wada’naak il moolaana,ودعناك ألمولانَ.
M-02-01,Be quiet.,iskit,أسكتْ.
M-02-02,Come with me.,wahaay im’aaya,وهايْ أمعايَ.
M-02-03,Describe it with gestures.,oSivhaalee bil ishaaRah,أوصفهالي بلِشاره.
M-02-04,Do not get excited.,laa tavRaH,لا تفرح.
M-02-05,Do what I ask.,‘adel Tha ilee ingoolak,عدل ذ أللي أنقٌولكْ.
M-02-06,Do you mean “no?”,qaSdak “abdey”?,قصدكْ “أبدي”؟
M-02-07,Do you mean “yes?”,qaSdak “aheyh”?,قصدكْ “أهيه”؟
M-02-08,Hold up the number of fingers.,iRvid gad iSbaa’ak,أرفدْ كٌدْ أصباعكْ.
M-02-09,I will get an interpreter.,laahee inzheeb motaRzhim,لاهِ أنجيب مترجم.
M-02-10,Is this it?,,
M-02-11,No.,abdey,أبدي.
M-02-12,Point to it.,iTRaH i’leeha Sib’ak,أطرح أعليها صبعك.
M-02-13,Relax.,itmownak,أتمونكْ.
M-02-14,Show me.,in’at lee,أنعتْ لي.
M-02-15,Squeeze my hand once for “yes.”,i’SiR Sib’ee maRa waHdeh la “aheyh”,أعصر صبعي مره وحده ل “أهيه.”
M-02-16,Squeeze my hand twice for “no.”,i’SiR Sib’ee maRtayn la “abdey”,أعصر صبعي مرتين ل “أبدي.”
M-02-17,Write your answer here.,iktib izhwaabak hon,أكتب أجوابكْ هونْ.
M-02-18,Yes.,aheyh,أهيه.
M-02-19,I know first aid.,anaa na’Rav lis’aavaat lawaleeyeh,انا نعرف لِسعافات لوَليَ .
M-02-20,Don’t move.,laa taHRik,لا تحركْ.
M-02-21,We need to move you.,yaalitna in naglook,يالتنَ أنّقٌلوكْ.
M-02-22,I need to clean your wounds.,yaaltee naSgal zhaRHak,يالتي نصكٌل جرحكْ.
M-02-23,I am here to help you.,anaa zhaay hon eeyaak in’aawnak,أنا جايْ هون أياكْ أنعاونكْ.
M-03-01,What is your given name?,shinhowa ismak lawal?,شنهوَ أسمكْ لوَلْ؟
M-03-02,What is your family name?,shinhowa ismak ith thaanee?,شنهو أسمك الثاني؟
M-03-03,What is your nationality?,shinheeyeh zhinseetak?,شنهيَ جنسيتكْ؟
M-03-04,What country were you born in?,inta iKhlaageh v ay dawleh?,أنت أخلاقٌه ف أي دوله؟
M-03-05,How old are you?,‘indak kam min saneh?,عندكْ كم من سنه؟
M-03-06,Do you have an identity card?,‘indak kaRt daan deetee?,عندكْ كرت دان أديتي؟
M-03-07,Show me your identification.,in’atlee kaRdaanteetak,أنعتلي كردانتيتك.
M-03-08,Do you have any bad reactions to medications?,‘indak Radit vi’il im’aakseh i’la id doweh?,عندك ردتْ فعل أمعاكسه أعل الدوَ؟
M-03-09,What is the name of the medication that causes bad reactions?,shinhoweh isim idweh ilee isabib Radit il vi’il lim’aakseh?,شنهو أسم الدو أللي إسبب ردت الفعل لمعاكسه؟
M-03-10,Do you have any allergies to medicines?,‘indak ay Hasaaseeyeh Dhid ay idweh?,عندك أي حساسيه ضد أي أدوَ؟
M-03-11,What is your religion?,shinhowa deenak?,شنهو دينك؟
M-03-12,Do you smoke tobacco?,inta tikmee sagaaReet?,أنت تكمي سكٌاريتْ؟
M-03-13,How many packs of cigarettes do you smoke per day?,kam min bakaT min sagaaReet tikmee linhaaR?,كم من بكطْ من سكٌاريت تكمي للنهارْ؟
M-03-15,Do you have any children?,‘indak awlaad?,عندك أولاد؟
M-03-16,Do you have high blood pressure problems?,‘indak mashaakil iRteevaa’ DhaghT id dam?,عندك مشاكل أرتفاع ضغط الدم؟
M-03-17,Do you have diabetes?,veek is sikaR?,فيك السكر؟
M-03-18,Do you have blood sugar control problems?,‘indak mashaakil v isayTaRah i’la is sikaR?,عندك مشاكل ف السيطره أعلَ السكر؟
M-03-19,Do you drink alcohol?,tishRab il koHool?,تشرب الكحول؟
M-03-20,How much do you weigh?,shinhowa waznak?,شنهو وزنكْ؟
M-04-01,You have been injured.,inta inzhRaHt,أنت أنجرحتْ.
M-04-02,You are ill.,inta maReeDh,أنت مريض.
M-04-03,Lie still.,itkee wa ihneh,أتكي و أهنَ.
